Detailed group,Description
93114,Operation of horse race tracks
93119,"Operation of arenas, stadiums and other sports facilities"
93120,Activities of sport clubs
93130,Fitness facilities
93191,Horse racing activities
93199,Other sports activities n.e.c.
93210,Activities of amusement parks and theme parks
93290,Other amusement and recreation activities
94111,Activities of business membership organisations
94112,Activities of employers membership organisations
94120,Activities of professional membership organisations
94200,Activities of trade unions
94910,Activities of religious organisations
94920,Activities of political organisations
94990,Activities of other membership organisations n.e.c.
95110,Repair of computers and peripheral equipment
95120,Repair of communication equipment
95210,Repair of consumer electronics
95220,Repair of household appliances and home and garden equipment
95230,Repair of footwear and leather goods
95240,Repair of furniture and home furnishings
95250,"Repair of watches, clocks and jewellery"
95290,Repair of other personal and household goods
96011,Washing and (dry-)cleaning for businesses and institutions
96012,Washing and (dry-)cleaning for households
96021,Hairdressing
96022,Beauty treatment
96030,Funeral and related activities
96040,Physical well-being activities
96090,Other personal service activities n.e.c.
97000,Activities of households as employers of domestic personnel
98100,Undifferentiated goods-producing activities of private households for own use
98200,Undifferentiated service-producing activities of private households for own use
99000,Activities of extraterritorial organisations and bodies
